Symbol,Name,AUM,Avg Volume
SPY,SPDR S&P 500 ETF,"$246,688,831.68","120,037,109"
IVV,iShares Core S&P 500 ETF,"$137,408,529.86","5,729,642"
VTI,Vanguard Total Stock Market ETF,"$90,433,559.70","3,431,564"
VOO,Vanguard S&P 500 ETF,"$84,504,160.90","3,561,069"
EFA,iShares MSCI EAFE ETF,"$77,482,258.51","30,471,037"
VEA,Vanguard FTSE Developed Markets ETF,"$69,562,374.91","11,658,915"
VWO,Vanguard FTSE Emerging Markets ETF,"$67,305,279.74","15,929,789"
QQQ,PowerShares QQQ,"$57,554,394.97","49,178,852"
IEFA,iShares Core MSCI EAFE ETF,"$55,771,076.35","10,207,066"
AGG,iShares Core U.S. Aggregate Bond ETF,"$54,652,405.65","4,392,389"
IEMG,iShares Core MSCI Emerging Markets ETF,"$49,529,026.95","12,963,656"
IJH,iShares Core S&P Mid-Cap ETF,"$43,632,100.57","1,513,195"
EEM,iShares MSCI Emerging Markets ETF,"$42,341,606.27","76,144,070"
IWM,iShares Russell 2000 ETF,"$40,115,406.38","25,686,045"
IWF,iShares Russell 1000 Growth ETF,"$39,050,247.66","2,122,094"
BND,Vanguard Total Bond Market ETF,"$36,809,819.45","2,716,137"
GLD,SPDR Gold Trust,"$36,002,061.20","8,322,896"
IJR,iShares Core S&P Small-Cap ETF,"$35,816,625.83","3,410,772"
IWD,iShares Russell 1000 Value ETF,"$35,423,044.92","2,433,871"
VTV,Vanguard Value ETF,"$35,008,873.84","1,902,344"
LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF,"$31,959,476.88","7,377,090"
VUG,Vanguard Growth ETF,"$31,888,122.16","1,180,500"
XLF,Financial Select Sector SPDR Fund,"$31,376,726.13","64,431,473"
VNQ,Vanguard Real Estate Index Fund,"$28,971,776.42","6,932,774"
VIG,Vanguard Dividend Appreciation ETF,"$26,492,646.84","988,597"
TIP,iShares TIPS Bond ETF,"$24,567,233.68","1,725,544"
BSV,Vanguard Short-Term Bond ETF,"$24,439,866.96","1,753,502"
VEU,Vanguard FTSE All-World ex-US ETF,"$23,120,664.24","2,995,403"
VO,Vanguard Mid-Cap Index ETF,"$21,802,424.24","457,934"
VB,Vanguard Small Cap ETF,"$21,352,829.48","631,319"
EWJ,iShares MSCI Japan ETF,"$21,127,981.35","12,485,626"
VCSH,Vanguard Short-Term Corporate Bond ETF,"$20,791,615.01","1,824,545"
DIA,SPDR Dow Jones Industrial Average ETF,"$20,349,998.95","6,707,716"
XLK,Technology Select Sector SPDR Fund,"$19,901,990.69","16,310,010"
VYM,Vanguard High Dividend Yield ETF,"$19,846,233.15","1,142,189"
IVW,iShares S&P 500 Growth ETF,"$19,547,409.84","963,860"
MDY,SPDR S&P MidCap 400 ETF,"$19,079,574.14","1,353,390"
IWB,iShares Russell 1000 ETF,"$18,920,211.87","1,429,585"
VCIT,Vanguard Intermediate-Term Corporate Bond ETF,"$18,626,013.73","1,444,977"
VGK,Vanguard FTSE Europe ETF,"$18,625,068.43","5,196,721"
VGT,Vanguard Information Technology ETF,"$17,670,680.06","822,511"
XLE,Energy Select Sector SPDR Fund,"$17,010,218.13","16,287,099"
IWR,iShares Russell Midcap ETF,"$16,603,731.40","235,732"
PFF,iShares U.S. Preferred Stock ETF,"$16,521,684.50","2,985,444"
DVY,iShares Select Dividend ETF,"$16,436,930.19","910,879"
BIV,Vanguard Intermediate-Term Bond ETF,"$15,127,846.54","849,069"
SDY,SPDR S&P Dividend ETF,"$15,095,566.31","715,785"
XLV,Health Care Select Sector SPDR Fund,"$14,914,969.88","10,256,274"
SCHF,Schwab International Equity ETF,"$14,728,091.36","2,726,616"
HYG,iShares iBoxx $ High Yield Corporate Bond ETF,"$14,373,637.49","16,410,416"
IVE,iShares S&P 500 Value ETF,"$14,333,677.74","1,174,677"
RSP,Guggenheim S&P Equal Weight,"$14,252,540.10","834,787"
EZU,iShares MSCI EMU ETF,"$14,122,658.18","9,320,579"
USMV,iShares Edge MSCI Min Vol USA ETF,"$13,915,774.16","2,311,216"
ITOT,iShares Core S&P Total U.S. Stock Market ETF,"$12,659,634.62","1,258,648"
XLY,Consumer Discretionary Select Sector SPDR Fund,"$12,469,925.45","6,981,450"
XLI,Industrial Select Sector SPDR Fund,"$12,449,538.39","14,891,602"
VBR,Vanguard Small Cap Value ETF,"$12,415,360.91","372,698"
MBB,iShares MBS Bond ETF,"$12,260,214.72","742,171"
EMB,iShares J.P. Morgan USD Emerging Markets Bond ETF,"$12,016,661.07","3,152,818"
